id,notes,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
164346,,2132,Match,Non_Exact,25,25,71201,2008,0,0,1750,0,June-21; July-21; August-21; September-21; October-21; November-21,5/12/2021,,4500,0,,9000
164347,,2135,Match,Non_Exact,25,25,80601,2002,605,0,3230,605,21-Jun,6/22/2021,,0,569,,569
164348,,2122,Match,Non_Exact,25,25,50600,1005,15000,1110,1482,16110,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21,4/22/2021,,,15000,,15000
164349,,2128,Match,Non_Exact,25,25,71101,2005,0,1283,1248,1283,October-21; November-21; December-21,9/16/2021,209.74,10143,,,10352.74
164350,,2128,Match,Non_Exact,25,25,201,3002,2000,2908.07,3828,4908.07,May-21; June-21; July-21,5/10/2021,1500,6000,0,,7500
164351,,2128,Match,Non_Exact,25,25,100500,2001,10400,7184.79,2368,17584.79,January-21; February-21; March-21; April-21,5/20/2021,1500,,13000,,14500
164352,,2111,No_Match,,,,51101,2007,1600,229,1000,1829,July-21; August-21; September-21,6/9/2021,371.78,6400,,,11571.78
164353,,2128,Match,Non_Exact,25,25,80300,2000,0,0,3200,0,June-21; July-21; August-21; September-21,7/5/2021,,0,6680,,6680
164354,,2135,Match,Non_Exact,25,25,91800,2006,0,2250,0,2250,21-May,5/18/2021,1098.41,,,,1098.41
164355,,2128,Match,Non_Exact,25,25,70103,1001,1684,0,1224,1684,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/26/2021,,0,6736,,6736
164356,,2128,Match,Exact,25,25,50101,1000,6000,1000,2500,7000,May-21; June-21; July-21,5/5/2021,,4500,,,9000
164357,,2113,Match,Non_Exact,25,25,100400,1000,1400,0,980,1400,June-21; July-21; August-21,5/10/2021,,5400,,,12400
164358,,2119,Match,Non_Exact,25,25,50200,1005,0,0,3792,0,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/10/2021,,6300,0,,6300
164359,,2125,Match,Non_Exact,25,25,81700,2002,356,537.9,108,893.9,January-21; February-21; March-21; April-21,5/10/2021,584.17,410,0,,994.17
164360,,2135,Match,Non_Exact,25,25,40600,2002,0,0,2450,0,June-21; July-21; August-21,5/26/2021,0,5850,0,,5850
164361,,2118,Match,Non_Exact,25,25,91200,3000,0,0,1900,0,June-21; July-21; August-21,6/3/2021,0,4500,0,,9300
164362,,2113,Tie,,,,30100,2004,0,0,0,0,21-May,6/2/2021,,0,1300,,1300
164363,,2128,Match,Non_Exact,25,25,130404,1002,0,0,417,0,May-21; June-21; July-21; August-21,5/28/2021,,5400,1800,,14400
164364,,2118,No_Match,,,,71101,2003,8000,0,0,8000,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/4/2021,,,10734,,10734
164365,,2125,Match,Non_Exact,25,25,50600,1005,2300,0,0,2300,May-21; June-21; July-21; August-21,4/30/2021,,3450,2589,,12028
164366,,2130,Match,Non_Exact,25,25,81700,5001,19800,2111.88,4600,21911.88,March-20; April-20; June-20; July-20; August-20; October-20; November-20; December-20; September-21,5/21/2021,,,15000,,15000
164367,,2128,Tie,,,,50200,1005,0,0,1500,0,May-21; June-21; July-21; August-21,5/14/2021,,5600,0,,11200
164368,,2126,Match,Non_Exact,25,25,120700,1000,4000,0,0,4000,May-21; June-21,7/13/2021,,6000,0,,6000
164369,,2114,Tie,,,,50200,1005,1000,0,2500,1000,April-21; May-21; June-21; July-21,5/5/2021,,4500,1000,,13000
164370,,2111,Match,Non_Exact,25,25,101101,2004,2800,0,0,2800,March-21; April-21; May-21,5/18/2021,305.87,8000,4200,,12505.87
164371,,2136,Match,Non_Exact,25,25,701,2004,1300,0,1200,1300,April-21; May-21; June-21; July-21,4/30/2021,,0,5200,,5200
164372,,2119,Match,Non_Exact,25,25,140105,2004,14000,2261,1150,16261,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/12/2021,1000,,14000,,15000
164373,,2124,Match,Non_Exact,25,25,81800,1001,2288,0,34696,2288,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/20/2021,,0,3636,,3636
164374,,2128,Match,Non_Exact,25,25,80100,2000,0,0,1928,0,June-21; July-21; August-21,5/10/2021,,2907,,,2907
164375,,2125,Match,Non_Exact,25,25,50500,1003,0,0,0,0,May-21; June-21; July-21; August-21,5/5/2021,,0,2668,,2668
164376,,2121,Match,Non_Exact,25,25,120201,3000,2400,4608,2500,7008,January-21; February-21; March-21; April-21; May-21,5/18/2021,861.26,3308,3309,,7478.26
164377,,2128,Match,Exact,25,25,50901,3007,2000,0,3000,2000,April-21; May-21; June-21; July-21,5/5/2021,104.99,,8000,,8104.99
164378,,2131,Match,Non_Exact,25,25,91200,1001,0,800,0,800,21-Jun,7/6/2021,,800,0,,800
164379,,2134,Match,Non_Exact,25,25,110502,1013,0,0,1072,0,June-21; July-21; August-21,5/12/2021,,2475,0,,2475
164380,,2128,Match,Non_Exact,25,25,50500,1003,6000,0,900,6000,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,4/22/2021,,,10510,,10510
164381,,2127,Match,Non_Exact,25,25,604,1006,875,0,800,875,March-21; April-21; May-21; June-21; July-21; August-21,5/28/2021,,4500,1750,,6250
164382,,2124,Match,Non_Exact,25,25,503,2006,0,327,465,327,May-21; June-21; July-21,4/16/2021,,5475,,,5475
164383,,2130,Match,Non_Exact,25,25,50700,3004,2000,410,800,2410,February-21; March-21; April-21; May-21; June-21; July-21,4/30/2021,,8000,4000,,12000
164384,,2119,Match,Non_Exact,25,25,61000,1003,4500,600,2200,5100,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/21/2021,,,12000,,12000
164385,,2134,Match,Non_Exact,25,25,81200,2000,2852,805.27,5005,3657.27,March-21; April-21; May-21; June-21; July-21,4/12/2021,883.76,5704,1426,,8013.76
164386,,2130,Match,Non_Exact,25,25,81302,1001,444,0,2000,444,April-21; May-21; June-21,6/9/2021,,0,147,,147
164387,,2121,Match,Non_Exact,25,25,804,1016,0,2500,2368,2500,July-21; August-21; September-21; October-21; November-21; December-21,7/6/2021,,3300,,,3300
164388,,2128,Match,Non_Exact,25,25,81200,1001,2800,434,3380,3234,March-21; April-21; April-21; May-21; June-21; July-21,4/14/2021,,5600,1400,,7000
164389,,2128,No_Match,,,,51101,2003,0,1141,2200,1141,July-21; August-21; September-21,7/9/2021,241.41,6000,0,,6241.41
164391,,2124,Match,Non_Exact,25,25,50101,1003,0,0,3000,0,March-20; April-20; May-20; June-20; July-20; August-20; September-20,5/17/2021,,5400,0,,5400
164392,,2136,Match,Non_Exact,25,25,100500,2000,0,3000,3500,3000,December-20; January-21,5/17/2021,1438.33,,,,1438.33
164393,,2130,Match,Non_Exact,25,25,100500,1002,0,636,3000,636,May-21; June-21; July-21,4/30/2021,419.67,6067,6066.89,,12553.56
164394,,2114,Match,Non_Exact,25,25,140201,1010,500,2236,1200,2736,March-21; April-21; May-21; June-21,7/14/2021,,0,2000,,2000
164395,,2114,Tie,,,,20200,2002,0,0,3350,0,April-21; May-21; June-21; July-21; August-21,6/2/2021,43.88,,,,8590.15
164396,,2125,Match,Non_Exact,25,25,10500,1004,0,0,50000,0,June-21; July-21; August-21,5/18/2021,,0,5791,,5791
164397,,2109,Match,Non_Exact,25,25,50901,3006,3200,0,3500,3200,March-20; April-20; May-20; June-20,5/14/2021,59.06,4800,0,,4859.06
164398,,2210,Match,Non_Exact,25,25,30500,3000,0,382,1000,382,May-21; June-21; July-21,4/30/2021,402.17,3375,,,7152.17
164399,,2124,Match,Non_Exact,25,25,130402,4010,1800,0,2468,1800,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/10/2021,,,14400,,15000
164400,,2122,Match,Non_Exact,25,25,90901,1005,731,575,#Error!,#Error!,April-21; May-21,6/1/2021,,0,1437,,1437
164401,,2122,No_Match,,,,100601,2004,6000,0,1068,6000,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,4/30/2021,,4800,4800,,9600
164402,,2128,Match,Non_Exact,25,25,82100,2001,602,0,0,602,April-21; May-21; June-21; July-21,4/30/2021,,,1191,,1191
164403,,2121,Match,Non_Exact,25,25,60604,1003,0,0,1268,0,June-21; July-21; August-21,7/16/2021,,5796,0,,5796
164404,,2126,Match,Non_Exact,25,25,50901,1014,2000,700,2500,2700,21-Apr,6/2/2021,188.71,6000,0,,6188.71
164406,,2128,Match,Non_Exact,25,25,101002,2014,0,1658.82,724,1658.82,April-21; May-21; June-21; July-21,4/28/2021,,6000,2000,,8000
164407,,2120,Match,Non_Exact,25,25,805,1005,1400,0,1544,1400,April-21; May-21; June-21; July-21,4/23/2021,,4200,1399,,15146.15
164408,,2125,Match,Non_Exact,25,25,60800,4001,1550,270,0,1820,May-21; June-21; July-21,4/28/2021,289.66,,4650,,14239.66
164409,,2125,Match,Non_Exact,25,25,50700,1003,4200,0,428,4200,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/18/2021,,0,6700,,6700
164411,,2115,Match,Non_Exact,25,25,91300,2006,2600,0,2200,2600,April-21; May-21; June-21; July-21,4/28/2021,1500,0,4964,,6464
164412,,2130,Match,Non_Exact,25,25,100300,3004,6000,0,3536,6000,December-20; January-21; February-21; March-21; April-21; May-21,5/12/2021,,,15000,,15000
164413,,2115,Match,Non_Exact,25,25,90901,1006,0,0,3200,0,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,7/1/2021,0,8085,,,8085
164414,,2135,Match,Non_Exact,25,25,10404,2002,948,0,2400,948,April-21; May-21; June-21; July-21,4/22/2021,126.26,2844,441,,3411.26
164415,,2134,Match,Non_Exact,25,25,100200,1006,18500,0,190,18500,July-21; August-21; September-21,7/1/2021,,,,6900,15000
164416,,2115,Match,Non_Exact,25,25,704,4001,2000,0,1500,2000,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,4/30/2021,,0,5903,,8174
164417,,2124,Match,Non_Exact,25,25,100900,3008,6000,0,1800,6000,,7/16/2021,,0,6680,,6680
164418,,2121,Match,Non_Exact,25,25,100800,6012,750,0,1486,750,,5/14/2021,0,4125,,,8250
164419,,2124,Match,Non_Exact,25,25,10403,1002,0,0,2200,0,,6/14/2021,,0,3438,,3438
164420,,2114,Match,Non_Exact,25,25,10403,1002,0,0,1068,0,June-21; July-21; August-21,5/17/2021,,0,5540,,8867
164421,,2130,No_Match,,,,120700,2002,3600,0,0,3600,April-21; May-21; June-21; July-21; August-21; September-21; October-21,5/5/2021,,10800,1800,,12600
164422,,2124,No_Match,,,,100601,4006,1650,0,785,1650,,5/11/2021,,,8250,,8250
164424,,2129,Tie,,,,40300,3001,1100,0,195,1100,April-21; May-21; June-21; July-21,4/22/2021,,8000,1100,,9100
164425,,2121,Match,Non_Exact,25,25,50101,3005,1600,0,2000,1600,April-21; May-21; June-21; July-21; August-21,4/30/2021,,4800,3200,,8000
164426,,2215,Match,Non_Exact,25,25,51200,2002,0,0,2000,0,March-21; May-21; June-21; July-21,4/23/2021,,0,5200,,5200
164427,,2128,Match,Exact,25,25,51101,1008,0,0,3000,0,April-21; May-21; June-21; July-21,5/19/2021,0,6000,2000,,8000
164428,,2119,Match,Non_Exact,25,25,70103,1001,0,0,531,0,,5/14/2021,0,0,6985,,6985
164429,,2131,Match,Non_Exact,25,25,82000,2004,675,0,0,675,April-21; May-21; June-21,4/12/2021,,2025,,,2025
164430,,2118,Match,Non_Exact,25,25,50700,3004,1500,0,2800,1500,April-21; May-21; June-21; July-21,4/23/2021,,5600,1400,,11200
164431,,2121,Match,Non_Exact,25,25,80601,1007,1662,0,1000,1662,April-21; May-21; June-21; July-21; August-21; September-21; October-21,7/30/2021,,7662,1662,,15000
164432,,2128,Match,Exact,25,25,50700,3004,5700,0,0,5700,February-21; March-21; April-21; May-21; June-21; July-21,4/22/2021,,,13300,,13300
164433,,2128,Match,Non_Exact,25,25,90100,5002,1900,0,2800,1900,March-21; April-21; May-21; June-21; July-21,4/7/2021,,9500,,,15000
164434,,2121,Match,Non_Exact,25,25,402,2009,0,0,400,0,April-21; May-21; June-21; July-21,4/7/2021,,2250,0,,2250
164435,,2126,Match,Non_Exact,25,25,50901,1016,1900,0,567,1900,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,7/4/2021,,,13300,,15000
164436,,2128,Match,Non_Exact,25,25,90100,3002,4000,0,2400,4000,January-21; February-21; March-21,4/7/2021,,5700,,,12700
164437,,2129,Match,Non_Exact,25,25,50101,3006,1000,0,1200,1000,March-21; April-21; May-21; June-21; July-21,4/28/2021,,4150,,,4150
164438,,2128,Match,Exact,25,25,50101,2004,1000,0,854,1000,,5/19/2021,,,11400,,11400
164439,,2132,Match,Non_Exact,25,25,40401,2000,0,0,1148,0,,5/7/2021,,0,4200,,7350
164440,,2122,Match,Non_Exact,25,25,50700,1000,3750,0,930,3750,,5/14/2021,,0,7500,,7500
164441,,2132,No_Match,,,,130402,4021,1675,0,2006,1675,April-21; May-21; June-21,4/7/2021,,0,3350,,3350
164442,,2135,Match,Non_Exact,25,25,100601,2004,2813,0,650,2813,April-21; May-21; June-21; July-21,3/31/2021,96.27,5250,4215,,14811.27
164444,,2125,No_Match,,,,100601,2004,900,0,1958,900,March-21; April-21; May-21; June-21; July-21; August-21,4/7/2021,,2700,2400,,8700
164445,,2128,Match,Exact,25,25,50200,2002,3400,0,2000,3400,April-21; May-21; June-21; July-21,4/22/2021,,,8000,,8000
164446,,2215,Match,Non_Exact,25,25,50901,1015,2000,0,645,2000,April-21; May-21; June-21; July-21,4/16/2021,,8000,,,8000
164447,,2136,Match,Non_Exact,25,25,51101,1000,0,0,1600,0,April-21; May-21; June-21,3/26/2021,0,2400,0,,2400
164448,,2128,Match,Non_Exact,25,25,10205,1004,2100,0,0,2100,April-21; May-21; June-21,4/5/2021,,6300,0,,6300
164449,,2128,Match,Exact,25,25,51200,3000,2490,0,2240,2490,April-21; May-21; June-21; July-21,4/7/2021,0,0,4980,,4980
164451,,2131,No_Match,,,,110301,2019,0,0,0,0,April-21; May-21; June-21; July-21,4/16/2021,,0,6500,,6500
164452,,2118,Match,Non_Exact,25,25,50500,1003,0,0,0,0,,5/31/2021,,0,4800,,4800
164454,,2134,Match,Non_Exact,25,25,80500,2002,8400,0,3000,8400,September-20; October-20; November-20; December-20; January-21; February-21; April-21; May-21; June-21; July-21,4/23/2021,,,13800,,13800
164455,,2131,Match,Non_Exact,25,25,92400,1006,0,0,2163,0,April-21; May-21; June-21; July-21; August-21,6/16/2021,0,,8500,,8500
164456,,2126,Match,Non_Exact,25,25,805,2005,4400,0,300,4400,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,4/14/2021,,0,7040,,7040
164457,,2111,Match,Non_Exact,25,25,110502,2000,1900,0,467,1900,April-21; May-21; June-21; July-21,4/14/2021,,,7600,,7600
164458,,2115,Match,Non_Exact,25,25,101102,3004,0,0,1500,0,March-21; April-21; May-21; June-21; July-21,4/21/2021,,0,6000,,6000
164459,,2128,Match,Non_Exact,25,25,70103,1001,4500,0,4268,4500,May-21; June-21; July-21; August-21; September-21,6/29/2021,968.14,7246,,,8214.14
164461,,2124,Match,Non_Exact,25,25,50500,1003,1450,0,4234,1450,April-21; May-21; June-21,4/14/2021,0,4350,0,,10150
164462,,2128,Match,Non_Exact,25,25,110104,1000,4000,0,1800,4000,April-21; May-21; June-21,3/24/2021,,5350,0,,5350
164463,,2135,Match,Non_Exact,25,25,100500,2006,3300,0,704,3300,February-21; March-21; April-21; May-21; June-21; July-21,4/30/2021,,,,,6800
164464,,2128,Match,Exact,25,25,50700,1002,0,0,1067,0,,5/13/2021,75.85,0,0,,75.85
164465,,2136,Match,Non_Exact,25,25,201,2002,10000,0,1050,10000,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,7/5/2021,,15000,,,15000
164466,,2126,Match,Non_Exact,25,25,50300,1009,0,0,3500,0,April-21; May-21; June-21,5/6/2021,0,6300,,,14700
164467,,2119,Match,Non_Exact,25,25,140102,1002,1500,0,0,1500,December-20; January-21; February-21; March-21; April-21,5/12/2021,,2250,3750,,9750
164468,,2121,Match,Non_Exact,25,25,101002,2018,0,0,1000,0,,4/12/2021,0,4156,0,,4156
164469,,2119,Tie,,,,80401,2003,0,0,2800,0,April-21; May-21; June-21,4/2/2021,,5100,,,5100
164471,,2121,No_Match,,,,81900,4010,700,0,749,700,,5/12/2021,,0,4900,,4900
164472,,2210,Match,Non_Exact,25,25,101002,2019,4158,0,600,4158,,5/6/2021,,,10858,,10858
164473,,2135,Match,Non_Exact,25,25,100800,6002,4765,0,2425,4765,January-21; February-21; April-21; May-21; June-21; July-21,4/23/2021,0,,8866,,8866
164474,,2125,Match,Non_Exact,25,25,60604,1001,0,0,0,0,April-21; May-21; June-21,4/16/2021,,4476,0,,4476
164475,,2136,Match,Non_Exact,25,25,202,2000,0,0,2700,0,March-21; April-21; May-21; June-21; July-21,5/18/2021,,,10800,,10800
164477,,2119,Match,Non_Exact,25,25,140202,2001,0,0,2212,0,May-21; June-21; July-21,4/23/2021,,6000,0,,6000
164478,,2126,No_Match,,25,25,101101,3006,0,0,2400,0,,7/5/2021,,4950,0,,4950
164479,,2136,Tie,,,,140300,2007,3000,0,3000,3000,July-21; August-21,5/12/2021,,,2200,,2200
164480,,2119,Match,Exact,25,25,80100,1042,1700,0,645,1700,,7/5/2021,,,8500,,8500
164481,,2121,Match,Non_Exact,25,25,91700,3004,1875,0,0,1875,March-21; April-21; May-21; June-21; July-21; August-21,4/5/2021,,0,5875,,5875
164482,,2122,Match,Non_Exact,25,25,82100,3002,2000,0,167,2000,January-21; February-21; March-21; April-21; May-21; June-21; July-21,4/22/2021,,,14000,,14000
164498,,2128,Match,Non_Exact,25,25,120700,1001,0,0,0,0,,,0,6225,,,6225
164499,,2118,Match,Non_Exact,25,25,50901,2001,0,0,565,0,May-21; July-21; August-21; September-21; October-21; November-21; December-21,5/23/2021,,7500,,,7500
164507,,2134,Match,Non_Exact,25,25,71101,2003,2172,0,2368,2172,,5/19/2021,,,7253,,7253
164517,,2136,Match,Non_Exact,25,25,50901,1016,,0,2200,0,June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,6836,6000,,12836
164521,,2118,Match,Non_Exact,25,25,140107,1015,0,0,45000,0,June-21; July-21; August-21; September-21,9/6/2021,,,8500,,8500
164606,,2128,Match,Non_Exact,25,25,91700,1001,8250,0,0,8250,April-21; May-21,4/2/2021,,,15000,,15000
164608,,2125,Match,Non_Exact,25,25,80601,2000,1613,4034,4139,5647,21-Sep,5/13/2021,1324.01,,,,1324.01
164609,,2125,Match,Non_Exact,25,25,80601,2000,1613,4034,0,5647,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,7/7/2021,1324.01,0,,,1324.01
164638,,2131,Match,Non_Exact,25,25,90300,3003,,0,3302,0,,,,,,100,100
164641,,2124,Match,Non_Exact,25,25,90100,1007,0,1064.56,1441,1064.56,August-21; September-21; October-21; November-21; December-21,9/17/2021,908.24,900,593,,2401.24
164649,,2128,Match,Non_Exact,25,25,70902,2000,,0,73.84,0,,8/23/2021,,3240,5373,,8613
164676,,2124,Match,Non_Exact,25,25,50500,1003,3600,666,5191,4266,June-20; July-20; August-20; September-20,9/2/2021,328.15,0,4950,,5278.15
164705,,2120,Match,Non_Exact,25,25,101002,2014,,0,2000,0,21-Oct,8/29/2021,,,1800,5400,7200
164716,,2119,Match,Non_Exact,25,25,92400,5001,,1800,2000,1800,21-Aug,8/18/2021,1102.91,,,,1102.91
164729,,2122,Match,Non_Exact,25,25,80900,1003,0,0,440,0,May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/5/2021,,4335,5780,,10115
164736,,2126,Match,Exact,25,25,101102,1003,9800,2051.8,1000,11851.8,June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,2300,12650,,14950
164745,,2108,Tie,,,,30302,1046,,417,4152,417,March-21; April-21; May-21,,,,6000,,6000
164779,,2116,Match,Non_Exact,25,25,91400,1005,0,0,3000,0,July-21; August-21; September-21,9/6/2021,,,4652,,4652
164795,,2120,Tie,,,,70801,1005,0,0,3700,0,January-21; February-21; March-21; April-21; May-21; June-21,8/11/2021,,,15000,,15000
164850,,2124,Match,Non_Exact,25,25,100200,2002,12800,0,2568,12800,21-Nov,9/1/2021,,,4000,,15000
164854,,2124,Match,Non_Exact,25,25,140201,1015,,192,512,192,September-21; October-21; November-21; December-21,9/14/2021,307.21,4950,1650,,6907.21
164891,,2121,Match,Non_Exact,25,25,140400,7005,0,2580.01,388,2580.01,21-Aug,8/30/2021,1500,,,,1500
164911,,2136,Tie,,,,140400,1000,1940,110,0,2050,August-21; September-21; October-21; November-21; December-21,9/9/2021,42.59,5820,3880,,9742.59
164929,,2128,Match,Non_Exact,25,25,82100,1007,,4777.91,3200,4777.91,October-21; November-21; December-21,,,3255,1075,,4330
164931,,2121,Match,Non_Exact,25,25,140400,6011,,0,2700,0,May-21; June-21; July-21; August-21; September-21,9/6/2021,,,8500,,8500
164938,,2125,Match,Non_Exact,25,25,82000,1003,8009,600,21000,8609,February-21; April-21; May-21,8/30/2021,,,4509,,4509
164973,,2125,Match,Non_Exact,25,25,100100,4000,,0,500,0,20-Oct,,,1000,14000,,15000
164978,,2116,Match,Non_Exact,25,25,100400,2000,,0,1296,0,October-21; November-21; December-21,,,3300,1100,,4400
164981,,2135,Match,Non_Exact,25,25,91400,1001,,149.1,3462.2,149.1,April-21; May-21; June-21; July-21; August-21; September-21,9/20/2021,184.1,,4256,,4440.1
165012,,2128,Match,Non_Exact,25,25,92200,2000,0,1231.48,1621,1231.48,June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/6/2021,1500,1662,1662,,4824
165024,,2130,Match,Non_Exact,25,25,130404,1005,0,0,360,0,,,307.41,,,,307.41
165027,,2126,Match,Non_Exact,25,25,61000,1004,1800,0,0,1800,September-21; October-21; November-21; December-21,,,5400,1800,,7200
165029,,2124,Match,Non_Exact,25,25,101002,3012,312,0,0,312,,8/31/2021,203.35,,,,203.35
165032,,2121,Match,Non_Exact,25,25,110502,2003,10750,0,0,10750,May-20; August-20; September-20; October-21; November-21,9/23/2021,875.93,3250,10750,,14875.93
165143,,2121,Match,Non_Exact,25,25,10104,1003,1200,0,0,1200,21-Sep,9/6/2021,,,1200,1200,3600
165199,,2125,Match,Non_Exact,25,25,505,1002,,1500,2000,1500,July-21; August-21; September-21; October-21,9/17/2021,1000,1000,13000,,15000
165208,,2121,No_Match,,,,81900,4003,,0,1600,0,September-21; October-21; November-21; December-21,9/14/2021,,3479,1656,1656,6791
165210,,2130,Match,Non_Exact,25,25,140202,1005,,0,2770.14,0,June-21; July-21; August-21; September-21; October-21; November-21,,,4800,3000,,7800
165214,,2128,Match,Non_Exact,25,25,80100,2000,12600,4000,2834,23800,May-21; May-21; June-21,5/4/2021,,15000,,,15000
165215,,2118,Match,Non_Exact,25,25,80100,2000,1850,0,0,1850,,,,15000,,,15000
165216,,2124,Match,Non_Exact,25,25,50901,3006,9800,0,1100,9800,July-21; July-21; August-21; September-21,7/2/2021,,9800,,,9800
165217,,2129,Match,Non_Exact,25,25,80401,1000,2616,0,199,2616,,8/11/2021,,,2616,,2616
165218,,2210,Match,Non_Exact,25,25,100200,2004,2900,0,533,12206,April-21; April-21; May-21; June-21; July-21; August-21; September-21,4/27/2021,,11209.05,,,11209.05
165220,,2128,Match,Non_Exact,25,25,61204,1018,11000,884.73,2000,15634.73,21-May,5/6/2021,,15000,,,15000
165221,,2130,Match,Non_Exact,25,25,80401,2003,15000,0,2119.6,15000,,7/29/2021,,15000,,,15000
165222,,2128,Match,Exact,25,25,51101,1002,9080,0,1522,9080,,6/4/2021,1500,,,,1500
165224,,2125,Match,Non_Exact,25,25,81200,1000,4460,0,944,4460,21-Apr,4/5/2021,,4460,,,4460
165225,,2128,Match,Exact,25,25,50500,1003,4500,0,1600,4500,21-Apr,4/14/2021,,4500,,,4500
165226,,2128,Match,Non_Exact,25,25,90400,4000,2403,1015,989,3418,21-Jun,6/3/2021,,2403,,,2403
165227,,2114,Match,Non_Exact,25,25,50901,2000,3900,2400,4000,11800,April-21; May-21; June-21; July-21,4/21/2021,,7800,,,9100
165228,,2108,Match,Non_Exact,25,25,50400,2002,11200,0,1500,11200,21-Apr,4/30/2021,,11200,,,11200
165229,,2124,Match,Non_Exact,25,25,20305,1006,3678,0,3100,3678,May-21; June-21; July-21; August-21,5/4/2021,,7356,,,7356
165230,,2108,Tie,,,,30302,1046,9700,465.62,3741.5,10165.62,21-May,5/12/2021,465.62,9700,,,10165.62
165231,,2124,Tie,,,,92300,4000,5600,9058.8,4819,14658.8,21-May,5/13/2021,1500,5600,,,7100
165232,,2124,Match,Non_Exact,25,25,50400,2006,4500,0,1319,4500,21-May,5/28/2021,,10500,,,10500
165234,,2121,Match,Non_Exact,25,25,100400,4003,10600,4550,0,15150,June-21; June-21,6/7/2021,1500,10600,,,12100
165235,,2124,Match,Non_Exact,25,25,60301,3006,2700,320,3200,3020,,5/12/2021,,7780,,,7780
165236,,2136,Match,Non_Exact,25,25,81900,4010,2800,2500,4268,14658.8,June-21; June-21; June-21; June-21; July-21; August-21,6/7/2021,1500,9400,,,10900
165237,,2119,Match,Non_Exact,25,25,100400,4000,1366,1590.2,2882,8938.2,July-21; August-21; September-21; October-21,6/29/2021,1500,2991,2363,,6854
165238,,2122,Match,Non_Exact,25,25,140300,2008,4000,0,1200,10000,May-21; June-21; July-21; August-21,8/3/2021,,7000,,,7000
165242,,2130,Match,Non_Exact,25,25,91700,1001,12462,8000,5900,20462,March-21; April-21; May-21; June-21; July-21; August-21; September-21,8/12/2021,461,2077,12462,,15000
165243,,2122,Match,Non_Exact,25,25,91001,1007,8390,0,783,16178,February-21; March-21; April-21; May-21; June-21; July-21,8/3/2021,1500,12980,,,14480
165244,,2120,Match,Non_Exact,25,25,60700,1004,1250,520,2012,9270,21-Jun,8/3/2021,592.47,7512,,,8104.47
165245,,2120,Match,Non_Exact,25,25,110105,1015,3140.85,0,2048,13622.85,April-21; May-21; June-21; July-21,8/3/2021,,13976,,,13976
165247,,2120,Match,Exact,25,25,80601,2002,3560,0,2000,11924,May-21; June-21; July-21; August-21,5/25/2021,,3948,,,3948
165248,,2130,Match,Non_Exact,25,25,140106,1004,380,581,1077,2001,April-21; May-21; June-21,6/4/2021,581.26,590.78,,,1172.04
165249,,2125,Match,Non_Exact,25,25,92101,2003,,5294.53,1249.8,5294.53,,6/17/2021,1500,,,,1500
165250,,2210,Match,Non_Exact,25,25,81102,2005,,900,2268,900,,6/9/2021,788.25,,,,788.25
165252,,2124,Match,Non_Exact,25,25,60604,2010,2636,0,0,13180,April-21; May-21; June-21; July-21; August-21,5/14/2021,,6590,,,6590
165263,,2124,Match,Non_Exact,25,25,92200,1006,,0,750,18000,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21,,,,12000,,12000
165267,,2128,Match,Non_Exact,25,25,100500,3005,975,0,334,6525,March-21; April-21; May-21,5/15/2021,,3700,,,3700
165269,,2132,Match,Non_Exact,25,25,50901,1016,,0,3700,0,,8/16/2021,,6455,3000,,9455
