,id,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
109,162615,2135,Match,Exact,25.0,25.0,302.0,1001.0,11839.99,0.0,0,11839.99,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,8/17/2021,0.0,0.0,15000.0,0.0,15000.0
110,162616,2125,Match,Exact,25.0,25.0,91300.0,2008.0,3639.35,244.01,894,11683.36,May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/2021,244.01,3900.0,3639.35,0.0,7783.36
111,162617,2124,Match,Non_Exact,25.0,25.0,101102.0,2007.0,7200.0,3603.78,2800,10803.78,April-20; May-20; June-20,9/6/2021,0.0,7800.0,7200.0,0.0,15000.0
112,162618,2124,Match,Exact,25.0,25.0,100500.0,5008.0,13200.0,2850.0,3334.62,16050,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/27/2021,0.0,0.0,14450.0,0.0,14450.0
113,162619,2125,Match,Non_Exact,25.0,25.0,91600.0,1004.0,4600.0,4120.0,4024,8720,June-21; July-21; August-21; September-21; October-21; November-21,9/11/2021,1500.0,6900.0,5700.0,0.0,14100.0
114,162620,2118,Match,Non_Exact,25.0,25.0,81800.0,2002.0,15000.0,0.0,2160,15000,May-20; June-20; July-20; August-20; September-20; October-20; November-20; January-21; March-21; April-21; May-21; June-21,0,0.0,0.0,15000.0,0.0,15000.0
115,162632,2125,Match,Non_Exact,25.0,25.0,60604.0,2010.0,3279.0,679.79,1176,12016.79,June-21; July-21; August-21; September-21; October-21,8/17/2021,679.79,2686.0,3279.0,0.0,6644.79
116,162647,2124,Match,Non_Exact,25.0,25.0,91100.0,3006.0,4450.0,1500.0,2300,5950,February-21; March-21; April-21; May-21; June-21,9/8/2021,0.0,5100.0,8850.0,0.0,13950.0
117,162650,2126,Match,Non_Exact,25.0,25.0,120600.0,1000.0,3200.0,0.0,0,3200,June-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,0,0.0,2100.0,4900.0,0.0,7000.0
118,162651,2118,Match,Non_Exact,25.0,25.0,91300.0,2006.0,1640.0,5625.77,1140,7265.77,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,7/29/2021,1500.0,2538.0,2072.0,0.0,6110.0
119,162654,2122,No_Match,0,0.0,0.0,92101.0,2004.0,9000.0,2267.66,1600,11267.66,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,8/19/2021,651.01,5348.99,9000.0,0.0,15000.0
120,162655,2119,Match,Non_Exact,25.0,25.0,100200.0,3006.0,9000.0,0.0,5996,16803.6,September-21; October-21; November-21,0,0.0,6600.0,0.0,0.0,6600.0
121,162656,2126,Match,Non_Exact,25.0,25.0,90400.0,3010.0,8400.0,2260.0,3200,10660,December-20; January-21; February-21; March-21; April-21; May-21; June-21; August-21; September-21; October-21; November-21,9/2/2021,0.0,2400.0,10800.0,0.0,13200.0
122,162658,2122,Match,Non_Exact,25.0,25.0,101102.0,4005.0,10800.0,1200.0,1800,12000,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20,0,0.0,3600.0,7200.0,0.0,10800.0
123,162660,2130,Match,Non_Exact,25.0,25.0,92000.0,1008.0,3708.0,801.57,5000,4509.57,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/30/2021,0.0,2856.0,4817.96,0.0,7673.96
124,162661,2121,No_Match,0,0.0,0.0,81900.0,3000.0,5450.0,0.0,1200,5450,May-20; June-20; July-20; August-20; September-20,9/9/2021,0.0,5250.0,5450.0,0.0,10700.0
